RelTime,UT,x,y,z
1545,2004-Mar-25 12:00,-0.7092334249920172,0.773048390028636,0.2693002856260601
1546,2004-Mar-26 12:00,-0.7212311542025732,0.7647087704491476,0.26588767394319834
1547,2004-Mar-27 12:00,-0.7330616983101554,0.7561913511979773,0.26241353125081446
1548,2004-Mar-28 12:00,-0.7447228328589454,0.747498711485208,0.2588786233098907
1549,2004-Mar-29 12:00,-0.7562118266759924,0.738633978865761,0.2552837351070477
1550,2004-Mar-30 12:00,-0.7675269771712261,0.7295991123789752,0.25163018405878196
1551,2004-Mar-31 12:00,-0.7786660613347609,0.7203966133632776,0.24791930995467257
1552,2004-Apr-01 12:00,-0.7896270615290948,0.7110291513021404,0.24415144420138585
1553,2004-Apr-02 12:00,-0.8004073890744849,0.7014998919274854,0.24032744894307376
1554,2004-Apr-03 12:00,-0.8110058452859393,0.6918101149587426,0.2364492379543175
1555,2004-Apr-04 12:00,-0.8214194814600451,0.681963665217449,0.2325171963218455
1556,2004-Apr-05 12:00,-0.8316472991865418,0.6719619520103939,0.2285322416737231
1557,2004-Apr-06 12:00,-0.8416863420416099,0.661808777021083,0.22449530877493343
1558,2004-Apr-07 12:00,-0.8515355481521298,0.6515054620608889,0.22040786907680365
1559,2004-Apr-08 12:00,-0.8611925085631643,0.6410552273379941,0.2162708928907038
1560,2004-Apr-09 12:00,-0.8706554107168833,0.630460753890755,0.21208484555565088
1561,2004-Apr-10 12:00,-0.8799222153611627,0.6197245456325503,0.20785177112975975
1562,2004-Apr-11 12:00,-0.8889917640994193,0.6088487638620603,0.20357112234061658
1563,2004-Apr-12 12:00,-0.8978615260101998,0.5978365094514108,0.1992454979206197
1564,2004-Apr-13 12:00,-0.906529860591012,0.5866905419865527,0.1948749009686942
1565,2004-Apr-14 12:00,-0.9149954034670281,0.5754128490205213,0.19046039301222173
1566,2004-Apr-15 12:00,-0.9232562922329425,0.5640060287367508,0.18600357464570755
1567,2004-Apr-16 12:00,-0.9313104407312914,0.552473466846073,0.18150501257289564
1568,2004-Apr-17 12:00,-0.9391565254579398,0.540817167476123,0.1769658109001802
1569,2004-Apr-18 12:00,-0.9467924411556989,0.5290405024302101,0.17238708728936009
1570,2004-Apr-19 12:00,-0.9542172668343653,0.5171447979570125,0.16776997261251636
1571,2004-Apr-20 12:00,-0.9614285642303048,0.50513414961585,0.16311561059950155
1572,2004-Apr-21 12:00,-0.9684251307034076,0.49301063307386994,0.15842463063332074
1573,2004-Apr-22 12:00,-0.9752053941172768,0.4807770222272882,0.15369767309906252
1574,2004-Apr-23 12:00,-0.9817679423655205,0.46843529473047874,0.14893697145196053
1575,2004-Apr-24 12:00,-0.9881105578752473,0.45598968743457075,0.1441431898613281
1576,2004-Apr-25 12:00,-0.9942324625137106,0.4434416220671339,0.13931647493950106
1577,2004-Apr-26 12:00,-1.0001319467981913,0.43079384387001307,0.1344590945990117
1578,2004-Apr-27 12:00,-1.0058069618696628,0.41805069437153686,0.12957121623153994
1579,2004-Apr-28 12:00,-1.0112568461069815,0.4052128131687993,0.12465460094286795
1580,2004-Apr-29 12:00,-1.0164795382262162,0.39228456179242344,0.11970996356890028
1581,2004-Apr-30 12:00,-1.0214738951594344,0.37926812311547153,0.11473802814955228
1582,2004-May-01 12:00,-1.0262386013616112,0.36616563269121316,0.10974111259189658
1583,2004-May-02 12:00,-1.0307718137492523,0.3529815836583807,0.10471890226655184
