element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""382.68067""","=""0.00003""","=""30""","=""2.81e+07""",B,"=""157673.4134""","=""183797.4473""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""383.0165""","=""0.0006""","=""1""","=""""",,"=""160239.4280""","=""186340.5616""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4F""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""383.03951""","=""0.00012""","=""6""","=""4.e+05""",D,"=""132630.7277""","=""158730.2995""","=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""383.05209""","=""0.00011""","=""7""","=""""",,"=""173347.9158""","=""199446.6269""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(1D).4d""","=""2P""","=""1/2""",,"=""""","=""L11520""",
Ar,7,"=""383.37""","=""0.04""","=""""","=""""",,"=""892803.""","=""918880.""","=""3s.7g""","=""3G""","=""5""","=""3s.8h""","=""3H*""","=""6""",,"=""""","=""L11308""",
Ar,1,"=""383.4679""","=""""","=""7""","=""7.5e+05""",D,"=""95399.8276""","=""121470.238""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""",,"=""T1086n""","=""L2634""",
Ar,2,"=""383.8239""","=""0.0006""","=""1""","=""""",,"=""188766.2129""","=""214812.44""","=""3s2.3p4.(3P).5p""","=""4P*""","=""5/2""","=""3s2.3p4.(3P).8d""","=""4D""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""384.15186""","=""0.00005""","=""18""","=""2.69e+07""",B,"=""158167.7999""","=""184191.7917""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""384.45622""","=""0.00010""","=""6""","=""3.e+05""",E,"=""135085.9958""","=""161089.3846""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""384.47306""","=""0.00017""","=""5""","=""4.8e+06""",B,"=""157673.4134""","=""183675.6614""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""7/2""",,"=""T926""","=""L11520""",
