element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,2,"=""471.4413""","=""0.0003""","=""120""","=""""",,"=""291202.0096""","=""312407.6220""","=""2s2.2p4.(3P).4p""","=""4D*""","=""7/2""","=""2s2.2p4.(3P).5d""","=""4F""","=""9/2""",,"=""""","=""L1406""",
Ne,2,"=""471.4935""","=""0.0020""","=""40""","=""""",,"=""303237.8943""","=""324441.18""","=""2s2.2p4.(3P).4d""","=""2P""","=""3/2""","=""2s2.2p4.(3P<0>).8f""","=""2[3]*""","=""5/2""",,"=""""","=""L1406""",
Ne,1,"=""471.51248""","=""0.00020""","=""300""","=""""",,"=""150121.5922""","=""171324.0107""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
Ne,1,"=""471.52580""","=""0.00020""","=""300""","=""""",,"=""149657.0392""","=""170858.8729""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""""","=""L4498""",
Ne,1,"=""471.5344""","=""0.0001""","=""15000""","=""""",,"=""149657.0392""","=""170858.4673""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""",,"=""""","=""L7292""",
Ne,4,"=""471.561""","=""0.004""","=""""","=""1.10e-01""",C,"=""41234.43""","=""62434.45""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""1/2""",E2,"=""T569""","=""L3452""",
Ne,1,"=""471.76085""","=""0.00020""","=""700""","=""""",,"=""150121.5922""","=""171312.8413""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L4498""",
Ne,2,"=""471.9363""","=""0.0003""","=""22""","=""""",,"=""281720.2755""","=""302903.635""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L1406""",
Ne,2,"=""471.9608""","=""0.0020""","=""12""","=""""",,"=""281720.2755""","=""302902.557""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L1406""",
Ne,1,"=""472.15337""","=""0.00020""","=""700""","=""""",,"=""150315.8612""","=""171489.486""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
Ne,1,"=""472.2150""","=""0.0020""","=""50""","=""""",,"=""151038.4524""","=""172209.15""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
Ne,1,"=""472.2714""","=""0.0020""","=""150""","=""""",,"=""151038.4524""","=""172206.770""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
Ne,1,"=""472.3810""","=""0.0020""","=""700*""","=""""",,"=""151038.4524""","=""172201.878""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
Ne,1,"=""472.3810""","=""0.0020""","=""700*""","=""""",,"=""150917.4307""","=""172080.915""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
Ne,4,"=""472.415""","=""0.004""","=""*""","=""3.58e-01""",C,"=""41278.89""","=""62440.78""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""3/2""",M1,"=""T569""","=""L3452""",
Ne,4,"=""472.415""","=""0.004""","=""*""","=""7.8e-02""",C,"=""41278.89""","=""62440.78""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""3/2""",E2,"=""T569""","=""L3452""",
Ne,1,"=""472.4162""","=""0.0020""","=""50""","=""""",,"=""151038.4524""","=""172200.33""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
Ne,1,"=""472.5145""","=""0.0001""","=""700""","=""""",,"=""150315.8612""","=""171473.311""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
