t,x,y,z,x_earth,y_earth,z_earth
6096.0,-0.20358417563836717,0.478540119793937,-0.030425661261027862,0.9426115469297554,-0.28594522720235827,-1.5023513249338397e-05
6097.0,-0.22306053286850536,0.4573745492599419,-0.029747085573272252,0.9470971312998928,-0.2690645158331197,-1.7846876539212922e-05
6098.0,-0.24203807859837886,0.43518766848522206,-0.0290020679826647,0.9512890919390926,-0.2521003896628083,-2.066473416154665e-05
6099.0,-0.2604381098458999,0.4119638549735284,-0.028187927335794522,0.9551857258387199,-0.23505800099676735,-2.347620497625269e-05
6100.0,-0.2781754121257319,0.3876931477341705,-0.027302133494074877,0.9587854217556772,-0.21794254172330024,-2.628040754977176e-05
6101.0,-0.29515843953556875,0.36237259870664557,-0.026342384008846767,0.9620866612823116,-0.20075924164299508,-2.9076460475184083e-05
6102.0,-0.311289758001202,0.33600774960230556,-0.025306693685074322,0.9650880198853389,-0.18351336676490493,-3.1863482695616147e-05
6103.0,-0.3264668149690655,0.3086141929253673,-0.024193496305184647,0.967788167912645,-0.16621021757013918,-3.4640593830812384e-05
6104.0,-0.340583096447858,0.28021915228760197,-0.023001756460803317,0.970185871566827,-0.14885512724346395,-3.740691450673404e-05
6105.0,-0.35352972145155,0.2508629903984427,-0.021731087752723977,0.9722799938443466,-0.1314534598735534,-4.016156668804722e-05
6106.0,-0.36519750192988243,0.22060052609007674,-0.020381871656097377,0.9740694954391811,-0.1140106086225756,-4.290367401335853e-05
6107.0,-0.37547946139287547,0.18950201891405238,-0.018955369307109896,0.9755534356098658,-0.09653199386584013,-4.563236213305649e-05
6108.0,-0.38427375774839895,0.15765366724025257,-0.017453816674485718,0.9767309730088389,-0.07902306130227764,-4.834675904961635e-05
6109.0,-0.3914868984878698,0.12515747014436773,-0.015880492468437882,0.9776013664730135,-0.06148928003656394,-5.104599546022347e-05
6110.0,-0.39703707613617173,0.09213033058401876,-0.014239748188163261,0.9781639757745205,-0.043936140633744285,-5.372920510157491e-05
6111.0,-0.400857399266714,0.05870233031289851,-0.012536991315384036,0.9784182623305847,-0.02636915314725529,-5.639552509672152e-05
6112.0,-0.4028987618226469,0.025014183323582906,-0.010778615991833577,0.9783637898715194,-0.008793845121284217,-5.9044096303812e-05
6113.0,-0.40313209243730963,-0.008786034492443383,-0.008971880367613483,0.9780002250658434,0.00878424043155348,-6.167406366661284e-05
6114.0,-0.40154976258298775,-0.04254669102451206,-0.007124735543131653,0.977327338101558,0.026359547076196345,-6.428457656668107e-05
